video_id,query_label,query,search_rank,title,description,channel_title,channel_id,upload_date,timestamp,duration_seconds,views,likes,comments,webpage_url,availability,live_status,language,tags,categories,thumbnail_url,collected_at_utc,collector
TDD3AnPmU7o,general_english,Peking Opera,1,Enjoying the classic Peking Opera 'Drunken Concubine' at Mid Autumn Festival,"The Mid-Autumn Festival falls on October 1 this year, marking one of the most important and poetic Chinese festivals. People across the country reunite with family and friends, and enjoy the charm of moon together. 

Some people will choose to watch Peking Opera during the festivities, classic opera ""Drunken Concubine"" is one of the most widely circulated ones. It is also a must-see Chinese opera for die-hard opera fans around the world.

For  more:
https://www.cgtn.com/video

Subscribe to us on YouTube: https://goo.gl/lP12gA
Download our APP on Apple Store (iOS): https://itunes.apple.com/us/app/cctvnews-app/id922456579?l=zh&ls=1&mt=8
Download our APP on Google Play (Android): https://play.google.com/store/apps/details?id=com.imib.cctv",CGTN,UCgrNz-aDmcr2uuto8_DL2jg,20201002,1601641267,158,1779283,48835.0,2400.0,https://www.youtube.com/watch?v=TDD3AnPmU7o,public,not_live,,CGTN|News|pekingopera|beijing|china|performance|opera,News & Politics,https://i.ytimg.com/vi/TDD3AnPmU7o/maxresdefault.jpg,2026-07-24T07:42:43+00:00,yt-dlp public YouTube metadata extractor
CfnGuqBsXjA,general_english,Peking Opera,2,"Peking Opera:《The Drunken Concubine》京剧: 贵妃醉酒, [Chinese Opera English Subtitles]","Hi everyone!
Please excuse my amateur translation, feel free to make any corrections in the comments! Many expressions and phrases are untranslatable, I recommend looking at the original Chinese if you have the time: www.bilibili.com/video/BV1HG4y1Z7A6/?spm_id_from=333.337.search-card.all.click
I don't claim any credit of this work aside from the translations.

The most well-known work of the famous opera master Mei Lanfang, The Drunken Concubine is more of a one-person performance than an opera that follows a long plot. It is a one-act opera that explores themes of the fragility of life, power and sorrow, and requires high skill from the performer. 

This opera is about Concubine Yang, a real person who was one of the Four Ancient Beauties of China. en.wikipedia.org/wiki/Four_Beauties

I hope you enjoy~


Cultural notes:

Chang'e is the chinese goddess of the moon who is accompanies by the jade rabbit. They live in the Guanghan palace on the moon.

#chineseopera #pekingopera #englishsubs #engsub #drunkenconcubine #meilanfang #京剧 #戏曲 #梅兰芳 #贵妃醉酒",Clover,UCW5ObKdSnhrbYESlkSMGGfQ,20240704,1720085728,4541,53044,1710.0,72.0,https://www.youtube.com/watch?v=CfnGuqBsXjA,public,not_live,,chineseopera|pekingopera|#chineseopera|#pekingopera|chinese opera|peking opera|engsub|eng sub|京剧|戏曲|贵妃醉酒|The Drunken Concubine,Entertainment,https://i.ytimg.com/vi/CfnGuqBsXjA/sddefault.jpg,2026-07-24T07:42:43+00:00,yt-dlp public YouTube metadata extractor
rENUrYQQqqw,general_english,Peking Opera,3,"""The Unicorn Purse"" (锁麟囊) 1/2 [English Subtitles]","Re-uploaded with some slight revisions

My amateur translation, thanks to operabeijing for the original video: http://operabeijing.com/?p=207
Please feel free to leave any translation corrections/suggestions in the comments. 

""The Unicorn Purse"" (锁麟囊/Suo Lin Nang) was written in 1940 by Weng Ouhong (翁偶虹) at the request of Cheng Yanqiu (程砚秋), one of the ""Four Great Dan"" of the twentieth century and the teacher of the teacher of Zhang Huoding. This video presents a version of that play with a few cuts and a new ending.

""Suo Lin Nang"" literally means ""locked 'lin' purse"", a ""lin"" being the female variant of a mythical Chinese animal that is often translated as a ""unicorn,"" even though it really isn't one. See: http://en.wikipedia.org/wiki/Qilin

Random notes:

-""I want the ducks in... five colors"": Traditionally, blue, yellow, red, white and black.

-""The jewel that is the fulfillment... (如意珠)"": This could be a reference to the ""Cintamani"" of Buddhism, though I doubt it. 如意, meaning, roughly, ""as you will"", is a fairly common term and I think it would be odd for Xiangling to have this sudden diversion into theology.

-""Plain white handkerchief"": In Chinese culture, white is the color mourning and therefore inappropriate for a wedding.

-""It's neither a pig nor a dog!"": I'm not sure what this means... In general, the servants in this play use a lot of Chinese humor that I don't know how to translate.

-""when the stars align"": Jixiang literally just says that the 18th is a ""good day"". But in Chinese, ""good day"" is understood to mean a day that is auspicious or fortuitous for numerological or astrological reasons.

-""magpie bridge"": http://en.wikipedia.org/wiki/Niulang 

-""mermaid-pearls"": A poetic term for tears, though Chinese mermaids are actually frightening monsters.

-""different key"": as in a musical key. Sort of like ""she marches to the beat of a different drum""

-""dried-out, tough, crabby, and rude"": This play has a lot of touches of northern Chinese culture; ""dried-out, tough, crabby, and rude"" is used to refer to a certain type of personality among natives of Beijing. I think.

-""a mat for her kang"": A kang is a heated platform that you can sit on, eat on, sleep on, etc. that was commonly used in the old days before central heating. This is another instance of Chinese humor that I don't know how to translate.

-Luan bird: A mythical bird.

-""if you mimic other people..."": The first line of a nonsensical children's chant.

-""flower of my youth"": This line could also mean something like ""we are both unfulfilled"", but several internet sources say that it refers specifically to ""unfulfilled years"".

-""the laundress fed Hanxin"": It's said that, before becoming one of the founders of the Han Dynasty, Han Xin was a poor man who depended on what he could catch with his fishing rod to survive. He was not a very good fisherman but, fortunately, whenever one of the laundresses who used the same river he did saw that he had not caught anything, she would share her meals with him. Later, when Han Xin became a powerful general, he sought out that laundress and tried to reward her. She refused to accept anything and said something to the effect that she had fed him for his sake, not hers.

-""look at this person's style"": Another joke I don't understand.

-""Scoundrel!"": Luhan actually calls the gong player a ""thing"". In Chinese, this is something like saying ""You are less than human"", though not quite that severe.

-""The first bow is to heaven and earth"": These are all lines spoken during a traditional Chinese wedding ceremony.

-""Day to return to her parental home"": After marriage, a woman would move in with her husband's family; on certain days, she would be expected to go back home to visit her parents as an act of filial piety.

-""three generations his junior"": This is a joke I actually get! Jixiang is essentially saying to Tingxun, ""The death of your wife is equivalent to the death of my grandmother, and the death of your son is equivalent to the death of my father."" In other words, ""The death of someone who is of the same generation as you is equivalent to the death of someone who is two generations older than I am, and the death of someone one generation younger than you is equivalent to the death of someone one generation older than I am."" Deference to one's elders is central to traditional Chinese culture; Jixiang is is flattering Tingxun by saying his wealth demands a two generation-gap's worth of respect.",Nikhi Chau,UC1Y55WqXd-IqV0KMzdJRUyA,20140719,1405797043,4974,46185,1042.0,63.0,https://www.youtube.com/watch?v=rENUrYQQqqw,public,not_live,,the unicorn purse|锁麟囊|jingju|京剧|张火丁|程砚秋|chinese opera|peking opera|beijing opera|world music|musicology|ethnomusicology|english subtitles|subtitle|china,People & Blogs,https://i.ytimg.com/vi/rENUrYQQqqw/maxresdefault.jpg,2026-07-24T07:42:43+00:00,yt-dlp public YouTube metadata extractor
DtgVgmc5_eM,general_english,Peking Opera,4,What is Peking Opera ?,"Peking Opera, also known as Ping opera and Peking Opera, is the top of the Chinese opera and the ""quintessence"" of China. Let's discover it togheter ! :)

#PekingOpera #京剧",China Cultural Center in Brussels,UCFfF_BxnKSiJsk4xOivhjcg,20210421,1619004596,196,5346,75.0,1.0,https://www.youtube.com/watch?v=DtgVgmc5_eM,public,not_live,en,,Nonprofits & Activism,https://i.ytimg.com/vi/DtgVgmc5_eM/maxresdefault.jpg,2026-07-24T07:42:43+00:00,yt-dlp public YouTube metadata extractor
BQ04L9yMPd4,general_english,Peking Opera,5,Peking Opera “The Unicorn Purse” (Full Length),"Peking Opera “The Unicorn Purse” tells a story about returning favour. On the way to the wedding, XUE Xiangling, daughter of a wealthy family, meets crying poor pride ZHAO Shouzhen and gives her the unicorn purse with jewelry inside as a gift. Years later, ZHAO helps XUE in trouble.
Leading performer: CHI Xiaoqiu
Presenter: Jingju Theatre Company of Beijing",China NCPA,UC-EO9wEuPGwSCmHow2v3x3w,20210512,1620812069,8799,213805,4298.0,290.0,https://www.youtube.com/watch?v=BQ04L9yMPd4,public,not_live,,NCPA Latest|The Unicorn Purse|Peking Opera|opera|tradition|music|Chinese culture|culture|performance|stage|arts|国家大剧院|國家大劇院|NCPA,Music,https://i.ytimg.com/vi/BQ04L9yMPd4/maxresdefault.jpg,2026-07-24T07:42:43+00:00,yt-dlp public YouTube metadata extractor
vtV3iAuYN48,general_english,Peking Opera,6,Peking opera,"UNESCO: Representative List of the Intangible Cultural Heritage of Humanity - 2010
URL: http://www.unesco.org/culture/ich/RL/00418
Description: Peking opera is a performance art incorporating singing, reciting, acting, martial arts. Although widely practised throughout China, its performance centres on Beijing, Tianjin and Shanghai. Peking opera is sung and recited using primarily Beijing dialect, and its librettos are composed according to a strict set of rules that prize form and rhyme. They tell stories of history, politics, society and daily life and aspire to inform as they entertain. The music of Peking opera plays a key role in setting the pace of the show, creating a particular atmosphere, shaping the characters, and guiding the progress of the stories. 'Civilian plays' emphasize string and wind instruments such as the thin, high-pitched ''jinghu ''and the flute ''dizi, ''while 'military plays' feature percussion instruments like the ''bangu ''or ''daluo. ''Performance is characterized by a formulaic and symbolic style with actors and actresses following established choreography for movements of hands, eyes, torsos, and feet. Traditionally, stage settings and props are kept to a minimum. Costumes are flamboyant and the exaggerated facial make-up uses concise symbols, colours and patterns to portray characters' personalities and social identities. Peking opera is transmitted largely through master-student training with trainees learning basic skills through oral instruction, observation and imitation. It is regarded as an expression of the aesthetic ideal of opera in traditional Chinese society and remains a widely recognized element of the country's cultural heritage.
Country(ies): China
© 2009 by Han wen / Beijing Bureau of Culture
Duration: 00:09:08 - Support: DVD (0041800004)",UNESCO,UCkD7gm3Am3M3k156lk46t3A,20101105,1288961551,548,323563,1406.0,,https://www.youtube.com/watch?v=vtV3iAuYN48,public,not_live,en,Intangible|Cultural|Heritage;|UNESCO|2003|Convention;|China;|00418;|Representative|List|(2010),People & Blogs,https://i.ytimg.com/vi/vtV3iAuYN48/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AH-BIAC4AOKAgwIABABGH8gLCgYMA8=&rs=AOn4CLBTlj7FvZsT4aNlLFqV99PRFVK7RQ,2026-07-24T07:42:43+00:00,yt-dlp public YouTube metadata extractor
yzAdZDK4XKA,general_english,Peking Opera,7,"China, Zaju, and Beijing Opera: Crash Course Theater #25","This week we're headed to China to learn about the ancient origins of theater there. We'll look at the early days of wizard theater (not a typo), the development of classical Chinese theater, and the evolution of Beijing Opera. 

Also, check out America from Scratch: https://www.youtube.com/americafromscratch

Crash Course is on Patreon! You can support us directly by signing up at http://www.patreon.com/crashcourse

Thanks to the following Patrons for their generous monthly contributions that help keep Crash Course free for everyone forever:

Mark Brouwer, Erika & Alexa Saur, Glenn Elliott, Justin Zingsheim, Jessica Wode, Eric Prestemon, Kathrin Benoit, Tom Trval, Jason Saslow, Nathan Taylor, Divonne Holmes à Court. Brian Thomas Gossett, Khaled El Shalakany, Indika Siriwardena, SR Foxley, Sam Ferguson, Yasenia Cruz, Eric Koslow, Caleb Weeks, Tim Curwick, D.A. Noe, Shawn Arnold, Ruth Perez, Malcolm Callis, Ken Penttinen, Advait Shinde, William McGraw, Andrei Krishkevich, Rachel Bright, Mayumi Maeda, Kathy & Tim Philip, Jirat, Eric Kitchen, Ian Dundore, Chris Peters
--

Want to find Crash Course elsewhere on the internet?
Facebook - http://www.facebook.com/YouTubeCrashCourse
Twitter - http://www.twitter.com/TheCrashCourse
Tumblr - http://thecrashcourse.tumblr.com 
Support Crash Course on Patreon: http://patreon.com/crashcourse

CC Kids: http://www.youtube.com/crashcoursekids",CrashCourse,UCX6b17PVsYBQ0ip5gyeme-Q,20180810,1533936828,703,184283,3479.0,115.0,https://www.youtube.com/watch?v=yzAdZDK4XKA,public,not_live,en,John Green|Hank Green|vlogbrothers|Crash Course|crashcourse|education|theater|theatre|China|Beijing|Yuan|Han|Dynasty|Sui|Song|Romance of the Three Kingdoms|emperor|Beijing Opera|Chinese|Mongols,Education,https://i.ytimg.com/vi/yzAdZDK4XKA/maxresdefault.jpg,2026-07-24T07:42:43+00:00,yt-dlp public YouTube metadata extractor
73_9UvNX920,general_english,Peking Opera,8,Peking Opera Performance Sample,"Performance of ""The Drunken Concubine"" by the Affiliated High School of Peking University Peking Opera Troupe 

2017-18 Peking University Spring Festival Gala

""Linda"" WANG Luoyun",Luoyun Wang,UCtoiap8Cijp4ykuDsI1ERwg,20181231,1546245474,184,324085,4587.0,704.0,https://www.youtube.com/watch?v=73_9UvNX920,public,not_live,en,Peking Opera|Chinese culture|Peking University|Spring Festival Gala,People & Blogs,https://i.ytimg.com/vi/73_9UvNX920/maxresdefault.jpg,2026-07-24T07:42:43+00:00,yt-dlp public YouTube metadata extractor
JKTeMtrK_lE,general_english,Peking Opera,9,Beijing Opera Tune (Jing Diao),"Provided to YouTube by The Orchard Enterprises

Beijing Opera Tune (Jing Diao) · Jiangsu Song and Dance Ensemble Folk Orchestra · Gu Guanren

Homebound (Gui)

℗ 2006 China Record Corporation

Released on: 1993-01-01

Screenplay  Author: Gu Guanren

Auto-generated by YouTube.",Jiangsu Song and Dance Ensemble Folk Orchestra - Topic,UC3K0GLSa_sveemHR8xx_nXg,20150221,1424530475,173,78317,1206.0,,https://www.youtube.com/watch?v=JKTeMtrK_lE,public,not_live,,Jiangsu Song and Dance Ensemble Folk Orchestra|Gu Guanren|Homebound (Gui)|Beijing Opera Tune (Jing Diao),Music,https://i.ytimg.com/vi/JKTeMtrK_lE/maxresdefault.jpg,2026-07-24T07:42:43+00:00,yt-dlp public YouTube metadata extractor
HAo8Eyia420,general_english,Peking Opera,10,Chinese - Beijing / Peking opera (京剧): Yandang Mountain (雁荡山) - complete,"The war between the rebellious peasants and the imperial army.
Meng Haigong (farmer general) – Xue Yongkang
He Tianlong (emperial general) – Lan Yumin
The plot of this play was made up, and there is neither song nor lyrics throughout. All is depicted by vivid movements, acrobatics and miming. The story is set in 589 AD. 
The name ""yandang"" comes from the lake of beautiful view on the top of the mountain, where the spreading reed, and the wild geese come and live here in autumn.
Peking Opera of Shanghai, director: Li Yuru, 1984.
PLAYLIST : Theatre and more:
https://www.youtube.com/playlist?list=PLA77B5E2507D2B7E0",betapicts,UC4Dt0gAkLdsAbTcRjq5zeNw,20180802,1533170194,1006,200541,2738.0,251.0,https://www.youtube.com/watch?v=HAo8Eyia420,public,not_live,,Peking opera|Beijing Opera|京剧|Yandang Mountain|雁荡山|Meng Haigong|He Tianlong|Peking Opera of Shanghai|1984|acrobatics|mime,Education,https://i.ytimg.com/vi/HAo8Eyia420/maxresdefault.jpg,2026-07-24T07:42:43+00:00,yt-dlp public YouTube metadata extractor
